timestamp,Infrared to Red Signal Ratio
02/05/20 00:00:40,0
02/05/20 00:01:41,2
02/05/20 00:02:41,0
02/05/20 00:03:41,0
02/05/20 00:04:42,0
02/05/20 00:05:42,0
02/05/20 00:06:42,0
02/05/20 00:07:42,-2
02/05/20 00:08:42,1
02/05/20 00:09:42,0
02/05/20 00:10:43,-1
02/05/20 00:11:43,-2
02/05/20 00:12:43,1
02/05/20 00:13:43,-4
02/05/20 00:14:43,-1
02/05/20 00:15:43,19
02/05/20 00:16:43,-1
02/05/20 00:17:44,12
02/05/20 00:18:44,1
02/05/20 00:19:44,1
02/05/20 00:20:44,0
02/05/20 00:21:44,-5
02/05/20 00:22:44,-3
02/05/20 00:23:44,-4
02/05/20 00:24:45,0
02/05/20 00:25:45,-1
02/05/20 00:26:45,12
02/05/20 00:27:45,0
02/05/20 00:28:45,-3
02/05/20 00:29:45,-1
02/05/20 00:30:46,-1
02/05/20 00:31:46,-6
02/05/20 00:32:46,-1
02/05/20 00:33:46,-7
02/05/20 00:34:46,-1
02/05/20 00:35:47,10
02/05/20 00:36:47,-1
02/05/20 00:37:47,-1
02/05/20 00:38:47,1
02/05/20 00:39:47,0
02/05/20 00:40:47,-1
02/05/20 00:41:47,-1
02/05/20 00:42:48,-47
02/05/20 00:43:48,48
02/05/20 00:44:48,5
02/05/20 00:45:48,0
02/05/20 00:46:48,0
02/05/20 00:47:48,-9
02/05/20 00:48:48,-1
02/05/20 00:49:49,3
02/05/20 00:50:49,-8
02/05/20 00:51:49,0
02/05/20 00:52:49,3
02/05/20 00:53:49,2
02/05/20 00:54:49,0
02/05/20 00:55:49,-1
02/05/20 00:56:49,0
02/05/20 00:57:50,0
02/05/20 00:58:50,-3
02/05/20 00:59:50,-5
02/05/20 01:00:50,-1
02/05/20 01:01:50,4
02/05/20 01:02:50,0
02/05/20 01:03:51,-6
02/05/20 01:04:51,3
02/05/20 01:05:51,4
02/05/20 01:06:51,-1
02/05/20 01:07:51,1
02/05/20 01:08:51,-13
02/05/20 01:09:51,-34
02/05/20 01:10:52,-3
02/05/20 01:11:52,-18
02/05/20 01:12:52,3
02/05/20 01:13:52,-1
02/05/20 01:14:52,-1
02/05/20 01:15:52,-1
02/05/20 01:16:52,-11
02/05/20 01:17:53,0
02/05/20 01:18:53,-1
02/05/20 01:19:53,-2
02/05/20 01:20:53,0
02/05/20 01:21:53,37
02/05/20 01:22:53,4
02/05/20 01:23:54,-2
02/05/20 01:24:54,0
02/05/20 01:25:54,1
02/05/20 01:26:55,0
02/05/20 01:27:55,1
02/05/20 01:28:55,0
02/05/20 01:29:55,2
02/05/20 01:30:55,61
02/05/20 01:31:55,-2
02/05/20 01:32:55,24
02/05/20 01:33:56,2
02/05/20 01:34:56,-11
02/05/20 01:35:56,0
02/05/20 01:36:56,-1
02/05/20 01:37:56,1
02/05/20 01:38:56,-4
02/05/20 01:39:56,-2
02/05/20 01:40:56,-4
02/05/20 01:41:56,0
02/05/20 01:42:56,-1
02/05/20 01:43:56,1
02/05/20 01:44:56,-2
02/05/20 01:45:57,-2
02/05/20 01:46:57,-3
02/05/20 01:47:57,-1
02/05/20 01:48:57,0
02/05/20 01:49:57,-7
02/05/20 01:50:57,1
02/05/20 01:51:57,-2
02/05/20 01:52:58,-4
02/05/20 01:53:58,-3
02/05/20 01:54:58,-2
02/05/20 01:55:59,79
02/05/20 01:56:59,-18
02/05/20 01:57:59,-1
02/05/20 01:58:59,1
02/05/20 01:59:59,-1
02/05/20 02:00:59,1
02/05/20 02:02:00,-8
02/05/20 02:03:00,-4
02/05/20 02:04:00,0
02/05/20 02:05:00,-11
02/05/20 02:06:00,2
02/05/20 02:07:00,0
02/05/20 02:08:00,0
02/05/20 02:09:01,6
02/05/20 02:10:01,20
02/05/20 02:11:01,13
02/05/20 02:12:01,-46
02/05/20 02:13:01,-30
02/05/20 02:14:02,9
02/05/20 02:15:02,4
02/05/20 02:16:02,9
02/05/20 02:17:02,-5
02/05/20 02:18:02,-10
02/05/20 02:19:02,-3
02/05/20 02:20:02,-6
02/05/20 02:21:03,-1
02/05/20 02:22:03,-6
02/05/20 02:23:03,0
02/05/20 02:24:03,0
02/05/20 02:25:03,0
02/05/20 02:26:03,-3
02/05/20 02:27:03,-1
02/05/20 02:28:03,-2
02/05/20 02:29:03,-6
02/05/20 02:30:03,-6
02/05/20 02:31:03,1
02/05/20 02:32:03,-2
02/05/20 02:33:03,0
