Timestamp,Orientation,Inclination,Time_of_day,Date
607405272.14,-149.16,22.96,20:41:12,
607405274.14,-149.17,21.61,20:41:14,
607405276.14,-150.45,21.12,20:41:16,
607405278.14,-150.60,21.66,20:41:18,
607405280.14,-150.34,21.24,20:41:20,
607405282.13,-155.52,20.23,20:41:22,
607405284.13,-149.22,20.80,20:41:24,
607405286.13,141.33,63.61,20:41:26,
607405288.13,22.29,93.89,20:41:28,
607405290.13,1.45,77.28,20:41:30,
607405292.13,-9.39,97.05,20:41:32,
607405294.13,-1.09,80.16,20:41:34,
607405296.12,-20.13,69.05,20:41:36,
607405298.12,-18.18,89.48,20:41:38,
607405300.12,-15.02,77.02,20:41:40,
607405302.12,-18.23,79.62,20:41:42,
607405304.12,-19.29,78.80,20:41:44,
607405306.11,-19.06,77.57,20:41:46,
607405308.11,-17.57,76.72,20:41:48,
607405310.11,-13.59,76.16,20:41:50,
607405312.11,-17.38,75.66,20:41:52,
607405314.11,-12.36,81.96,20:41:54,
607405316.11,-15.72,78.25,20:41:56,
607405318.10,-13.22,75.73,20:41:58,
607405320.10,-14.82,81.41,20:42:00,2020-03-31
607405322.10,-14.73,81.73,20:42:02,
607405324.10,-14.61,81.06,20:42:04,
607405326.10,-14.87,82.20,20:42:06,
607405328.10,-14.85,82.20,20:42:08,
607405330.09,-14.25,82.38,20:42:10,
607405332.09,-14.58,82.56,20:42:12,
607405334.09,-14.57,81.23,20:42:14,
607405336.09,-14.89,81.73,20:42:16,
607405338.09,-14.85,81.72,20:42:18,
607405340.09,-14.91,81.78,20:42:20,
607405342.09,-14.77,81.71,20:42:22,
607405344.08,-14.87,81.99,20:42:24,
607405346.08,-14.69,82.86,20:42:26,
607405348.08,-14.79,83.06,20:42:28,
607405350.08,-21.63,95.26,20:42:30,
607405352.08,-22.68,78.69,20:42:32,
607405354.08,-18.69,79.90,20:42:34,
607405356.08,-19.81,78.87,20:42:36,
607405358.07,-16.55,83.36,20:42:38,
607405360.07,-16.68,83.26,20:42:40,
607405362.07,-16.14,83.54,20:42:42,
607405364.07,-16.17,83.09,20:42:44,
607405366.07,-15.57,83.66,20:42:46,
607405368.07,-16.24,83.26,20:42:48,
607405370.07,-15.73,83.28,20:42:50,
607405372.06,-15.83,83.86,20:42:52,
607405374.06,-16.01,83.35,20:42:54,
